Twitter Handle & User Name,Tweet, external URL,Date of Tweet,Followers,Following,RT,FAV
"SundayChants , Sunday League Footy","b'\\U0001f91d Here\\u2019s the barber of @WilfriedZaha &amp; @WilfriedBony, who has also worked with @DidierDrogba. \\u2702\\n\\n\\U0001f44f Dream big. https://t.co/tR9Z8m3KAs'",no external urls in this tweet,Thu Nov 22 10:30:00 +0000 2018,154662,23845,2,10
"Sethrogen , Seth Rogen","b""RT @CBCAlerts: Donald Trump has just tweeted a thank you to Saudi Arabia for current low oil prices, which he likens to 'a big Tax Cut for\\u2026""",no external urls in this tweet,Thu Nov 22 10:22:21 +0000 2018,7729504,1220,26239,0
"DepressedDarth , Darth Vader",b'How Oscar Isaac Almost Lost His Star Wars Role https://t.co/qhmsDdbWMt',https://goo.gl/w2S7Ja,Thu Nov 22 10:20:29 +0000 2018,817375,314,0,10
"globeandmail , The Globe and Mail",b'Top Japanese wireless carriers plan to cut iPhone XR price : report https://t.co/Hbz8skROHT @GlobeBusiness https://t.co/3vv4zDcgJ3',http://dlvr.it/QrrF8K,Thu Nov 22 10:17:07 +0000 2018,1732031,557,1,2
"globeandmail , The Globe and Mail",b'Distrust of U.S. makes Canada a safer haven for data storage https://t.co/4EQLhe6vA8 @GlobeBusiness https://t.co/VHtmE4oESa',http://dlvr.it/QrrF1P,Thu Nov 22 10:17:06 +0000 2018,1732031,557,4,16
"DutchNewsNL , DutchNews.NL",b'Want to win some free gin? Send us a photo of your favorite bar! https://t.co/vTKONIGgfb',https://www.facebook.com/pg/dutchnews/photos/?tab=album&album_id=10156045338065292,Thu Nov 22 10:16:35 +0000 2018,14227,250,0,0
"BestMovieLine , Best Movie Line",b'The Breakfast Club https://t.co/yutQbHzgsw',no external urls in this tweet,Thu Nov 22 10:15:42 +0000 2018,493176,38,15,38
"DutchNewsNL , DutchNews.NL",b'Only sooty-faced Piets at Rotterdam Sint procession from next year https://t.co/izHZY9ylao',https://goo.gl/s6yW4e,Thu Nov 22 10:06:04 +0000 2018,14227,250,1,1
"globeandmail , The Globe and Mail",b'Doesn\\u2019t your pet deserve a well-designed home? https://t.co/RKlw5gp2T3 https://t.co/IxnDBID4yT',http://dlvr.it/QrrBDl,Thu Nov 22 10:02:07 +0000 2018,1732031,557,1,6
"CBR , Comic Book Resources",b'#Arrow: Longtime Character Finally Gets His Comic Book Moniker https://t.co/YqaNOladEl https://t.co/4IdGAYUPO5',https://buff.ly/2PNaZ2H,Thu Nov 22 10:01:04 +0000 2018,234940,832,1,6
"BestMovieLine , Best Movie Line",b'Pulp Fiction https://t.co/BstbO8JBiI',no external urls in this tweet,Thu Nov 22 10:00:39 +0000 2018,493176,38,20,86
"globeandmail , The Globe and Mail","b'Oil falls on rising U.S. inventories, OPEC talk of cut limits loss https://t.co/xV25upbOhl @GlobeBusiness https://t.co/y9HjoDuDfl'",http://dlvr.it/Qrr9nx,Thu Nov 22 10:00:05 +0000 2018,1732031,557,2,2
"DepressedDarth , Darth Vader",b'What I mostly use the force for https://t.co/dq8Fu2cRSa',no external urls in this tweet,Thu Nov 22 09:56:26 +0000 2018,817375,314,27,101
"BestMovieLine , Best Movie Line",b'How To Lose a Guy in 10 Days https://t.co/CPAIJA5ljp',no external urls in this tweet,Thu Nov 22 09:45:38 +0000 2018,493176,38,17,52
"DepressedDarth , Darth Vader",b'These movies joined the dark side https://t.co/vEcBbSFM1G',https://decider.com/2017/04/14/10-movies-where-the-actors-had-real-on-screen-sex/slide-3/?utm_source=dom&utm_medium=domsc&utm_campaign=DM367,Thu Nov 22 09:33:27 +0000 2018,817375,314,1,5
"BestMovieLine , Best Movie Line","b""Here's what Germany\\u2019s first sex doll brothel is like https://t.co/9HL0s5Ygo0""",https://nypost.com/2018/04/18/inside-germanys-first-sex-doll-brothel/slide-2/?utm_source=dom&utm_medium=domsc&utm_campaign=DM367,Thu Nov 22 09:31:27 +0000 2018,493176,38,2,3
"CBR , Comic Book Resources",b'DC Comics Releases February 2019 Solicitations https://t.co/X72VKPqH5V https://t.co/VPP4DIcYFS',https://buff.ly/2Tyf3Cc,Thu Nov 22 09:31:02 +0000 2018,234940,832,5,10
"BestMovieLine , Best Movie Line",b'The 10 Worst Sex Scenes of All Time https://t.co/PBQjmVn275',https://decider.com/2018/01/05/10-worst-sex-scenes-gallery/slide-8/?utm_source=dom&utm_medium=domsc&utm_campaign=DM367,Thu Nov 22 09:30:28 +0000 2018,493176,38,0,2
"DutchNewsNL , DutchNews.NL",b'King to open newly refurbished Anne Frank museum https://t.co/BizkIqLnyq',https://goo.gl/aZ4p9F,Thu Nov 22 09:21:19 +0000 2018,14227,250,4,0
"GoldenKnights , Vegas Golden Knights",b'We got a win\\n\\nYou get a wing(s) https://t.co/rBjnwcnDEC',no external urls in this tweet,Thu Nov 22 09:17:02 +0000 2018,422000,639,42,202
"BestMovieLine , Best Movie Line",b'Friends https://t.co/DkRZx3vr4W',no external urls in this tweet,Thu Nov 22 09:15:40 +0000 2018,493176,38,41,144
"DutchNewsNL , DutchNews.NL",b'MPs call for rethink on Chinese secure communications deal https://t.co/kYessCgJVU',https://goo.gl/rKVFUh,Thu Nov 22 09:14:51 +0000 2018,14227,250,0,0
"DepressedDarth , Darth Vader",b'therapist: \\u201cWhat do you do to relieve stress?\\u201d\\n\\nme: https://t.co/Sb3Lj1Fo1l',no external urls in this tweet,Thu Nov 22 09:10:27 +0000 2018,817375,314,41,89
"CBR , Comic Book Resources","b""Honestly, Disney Doesn't Even Need to Market #Avengers4 https://t.co/oQbqKIODOV https://t.co/8gq6OXvg5c""",https://buff.ly/2TxODjV,Thu Nov 22 09:01:03 +0000 2018,234940,832,6,18
"DutchNewsNL , DutchNews.NL",b'Catch up with some contemporary culture on Saturday and Sunday at the seventh edition of the Amsterdam Art Weekend. https://t.co/zvfG4uBOLH',http://www.Amsterdamart.com,Thu Nov 22 09:01:01 +0000 2018,14227,250,0,1
"BestMovieLine , Best Movie Line",b'Gia https://t.co/mCfkkgkKHH',no external urls in this tweet,Thu Nov 22 09:00:27 +0000 2018,493176,38,20,76
"DutchNewsNL , DutchNews.NL",b'Cabinet may press ahead with pension reform without unions blessing https://t.co/diUIGylrZI',https://goo.gl/4Q1vQx,Thu Nov 22 08:55:54 +0000 2018,14227,250,0,0
"BestMovieLine , Best Movie Line",b'The Addams Family https://t.co/vRaltPLeLr',no external urls in this tweet,Thu Nov 22 08:45:36 +0000 2018,493176,38,14,54
"DepressedDarth , Darth Vader","b""Leia's Final Words To Chewie In Last Jedi Revealed https://t.co/rJhloyDGHg""",https://goo.gl/HVXgXg,Thu Nov 22 08:45:34 +0000 2018,817375,314,3,23
"DutchNewsNL , DutchNews.NL",b'Pay gap stops shrinking but young women earn more than men https://t.co/4o7kjon7J6',https://goo.gl/nv3GSe,Thu Nov 22 08:37:51 +0000 2018,14227,250,1,0
