Twitter Handle & User Name,Tweet, external URL,Date of Tweet,Followers,Following,RT,FAV
"GoldenKnights , Vegas Golden Knights","b""To recap this road trip: \\n\\n- the win in Edmonton taught us love \\U0001f49b\\n- the loss in Calgary taught us pain \\U0001f915\\n- tonight'\\u2026 https://t.co/MO8So3eukw""",https://twitter.com/i/web/status/1065479243885240321,Thu Nov 22 05:37:02 +0000 2018,422000,639,202,1235
"SwiftOnSecurity , SwiftOnSecurity","b'RT @vjerkov: @LaughingBrook @SwiftOnSecurity @jamonholmgren Client complained: every time I launch your application on my pc, my phone vibr\\u2026'",no external urls in this tweet,Thu Nov 22 05:36:00 +0000 2018,247692,8090,24,0
"GoldenKnights , Vegas Golden Knights",b'The Golden Goal from Max Pacioretty \\U0001f601\\n\\n\\U0001f6a8@EASportsNHL\\U0001f6a8 https://t.co/ZN6r7g3FEo',no external urls in this tweet,Thu Nov 22 05:33:32 +0000 2018,422000,639,112,614
"GoldenKnights , Vegas Golden Knights",b'earned our turkey tonight \\U0001f983',no external urls in this tweet,Thu Nov 22 05:31:17 +0000 2018,422000,639,24,296
"CBR , Comic Book Resources","b""MCU's Avengers &amp; DCEU's Justice League Swap Places in New Fan Art https://t.co/FvRKJ7oal6 https://t.co/7oIxXoiyUz""",https://buff.ly/2DS6jSH,Thu Nov 22 05:31:01 +0000 2018,234940,832,8,23
"BestMovieLine , Best Movie Line",b'Friends https://t.co/E4pOJMVo0r',no external urls in this tweet,Thu Nov 22 05:30:30 +0000 2018,493176,38,198,503
"GoldenKnights , Vegas Golden Knights",b'\\U0001f3a5 Theodore: Our focus was to come in with a fresh mind and get back to our game. We did a great job tonight. https://t.co/RfpQV42myA',no external urls in this tweet,Thu Nov 22 05:28:19 +0000 2018,422000,639,14,168
"GoldenKnights , Vegas Golden Knights","b'\\U0001f3a5 Pacioretty: It feels really good to play a good game, especially as a team. https://t.co/uaTUzow9Li'",no external urls in this tweet,Thu Nov 22 05:22:50 +0000 2018,422000,639,27,299
"DepressedDarth , Darth Vader",b'The force is strong with this photoshopper https://t.co/mwCdSaG5qj',http://twentytwowords.com/this-is-what-happens-when-you-ask-the-wrong-guy-for-photoshop-help/6/?utm_source=deck&utm_medium=cpc&utm_term=influencer&utm_campaign=DM367,Thu Nov 22 05:21:27 +0000 2018,817375,314,3,9
"BestMovieLine , Best Movie Line",b'First Episode 9 Trailer Coming In April https://t.co/P3Ioc0dFhB',https://goo.gl/tZguF9,Thu Nov 22 05:16:27 +0000 2018,493176,38,2,8
"BestMovieLine , Best Movie Line",b'Fergie bares all in instagram https://t.co/ZSDNwWbn3c',http://twentytwowords.com/fergies-back-on-instagram-and-also-super-naked/2/?utm_source=deck&utm_medium=cpc&utm_term=influencer&utm_campaign=DM367,Thu Nov 22 05:15:31 +0000 2018,493176,38,0,0
"yaboynimrit , Nimrit","b""This, and then strutting triumphantly every time he didn't suck ass for Cleveland till giving up the act after ever\\u2026 https://t.co/SpX2Cs2ovN""",https://twitter.com/i/web/status/1065472217402683392,Thu Nov 22 05:09:06 +0000 2018,458,1227,0,0
"globeandmail , The Globe and Mail",b'Your daily horoscope: November 22 https://t.co/IwxiM2o7L3 https://t.co/KQBoWXJIo9',http://dlvr.it/QrqPjb,Thu Nov 22 05:08:04 +0000 2018,1732031,557,2,6
"GoldenKnights , Vegas Golden Knights",b'heading back 2 Vegas in a GREAT mood \\U0001f57a\\n\\nhttps://t.co/wwWIVQb3QX',https://atnhl.com/2TwrwWQ,Thu Nov 22 05:07:59 +0000 2018,422000,639,34,384
"jsbmbaggedmilk , Baggedmilk - Oilers Beet writer",b'@JSBMjeanshorts @beardsbrown Please don\\u2019t',no external urls in this tweet,Thu Nov 22 05:06:47 +0000 2018,11797,194,0,0
"SwiftOnSecurity , SwiftOnSecurity","b'RT @LaughingBrook: @jamonholmgren Customer called, ""random letters appear on screen."" I went onsite.\\n\\nFound they recently decommissioned a\\u2026'",no external urls in this tweet,Thu Nov 22 05:06:29 +0000 2018,247692,8090,148,0
"BestMovieLine , Best Movie Line",b'Game of Thrones https://t.co/o9Q5ihTDy9',no external urls in this tweet,Thu Nov 22 05:01:32 +0000 2018,493176,38,76,199
"CBR , Comic Book Resources","b""They Grow Up So Fast: #Superboy's New Look Poses a Crisis for #Superman https://t.co/52tVWN2FVa https://t.co/BvDIOVfmXx""",https://buff.ly/2AbZWW9,Thu Nov 22 05:01:02 +0000 2018,234940,832,4,12
"GoldenKnights , Vegas Golden Knights",b'bet you guys weren\\u2019t pacio-ready for that one \\U0001f643',no external urls in this tweet,Thu Nov 22 04:59:52 +0000 2018,422000,639,46,526
"screenrant , Screen Rant","b""Titans Reveals First Look At DC Universe's Donna Troy - https://t.co/e1LOTHM5bW https://t.co/qRayHn6P8d""",https://buff.ly/2AeUFgf,Thu Nov 22 04:58:24 +0000 2018,115536,289,3,38
"YashTamhane , Kawhi's Cornrows",b'Joyner track was ass',no external urls in this tweet,Thu Nov 22 04:56:55 +0000 2018,339,446,0,1
"GoldenKnights , Vegas Golden Knights",b'HUGE MOOD\\n\\n#VegasBorn https://t.co/1Qt4gOVv8r',no external urls in this tweet,Thu Nov 22 04:55:58 +0000 2018,422000,639,125,746
"Lowetide , Lowetide","b""RT @nytimesworld: The U.S. Navy once thought it was the ocean's bottom. What their acoustics were detecting was actually an enormous mass o\\u2026""",no external urls in this tweet,Thu Nov 22 04:54:13 +0000 2018,24894,12861,157,0
"EdmontonOilers , Edmonton Oilers",b'Less than a week to go! Click https://t.co/1ty3Kyemws to apply for an #Oilers MBNA Rewards Mastercard by Nov. 26 &amp;\\u2026 https://t.co/pN0FUTUqWb',http://OilersRewardsCard.ca,Thu Nov 22 04:50:44 +0000 2018,799811,265,0,6
"GoldenKnights , Vegas Golden Knights","b""THAT'S WHAT WE'RE TALKING ABOUT https://t.co/vhPWsrh9Lv""",no external urls in this tweet,Thu Nov 22 04:47:44 +0000 2018,422000,639,312,1352
"GoldenKnights , Vegas Golden Knights",b'PACIORETTY\\n\\nIN\\n\\nOOOOOOOOOOOOOVERTIME!!!!!!!!!!! https://t.co/KUNbdOKDbU',no external urls in this tweet,Thu Nov 22 04:46:24 +0000 2018,422000,639,270,1414
"GoldenKnights , Vegas Golden Knights",b'only using the edges of our chairs rn',no external urls in this tweet,Thu Nov 22 04:42:25 +0000 2018,422000,639,19,251
"GoldenKnights , Vegas Golden Knights","b""penalty is killed and we're at even strength here in OT""",no external urls in this tweet,Thu Nov 22 04:41:05 +0000 2018,422000,639,12,170
"GoldenKnights , Vegas Golden Knights","b""no more time on the clock so we're gonna play some extra hockey\\n\\nOVERTIME IS NEXT \\U0001f440""",no external urls in this tweet,Thu Nov 22 04:38:43 +0000 2018,422000,639,36,291
"SwiftOnSecurity , SwiftOnSecurity",b'The ploy here is that actually has nothing to do with what went wrong https://t.co/hlWXLaPWKo',https://twitter.com/swiftonsecurity/status/1065434179331153920,Thu Nov 22 04:36:08 +0000 2018,247692,8090,5,50
"GoldenKnights , Vegas Golden Knights","b'gravity, man\\n\\npenalty to kill here in the last two minutes'",no external urls in this tweet,Thu Nov 22 04:34:25 +0000 2018,422000,639,10,165
"GoldenKnights , Vegas Golden Knights","b""still tied with 3:02 to go, tied 2-2\\n\\nnow is the time when you're starting to feel full but you sure ain't done eating yet \\U0001f357""",no external urls in this tweet,Thu Nov 22 04:32:25 +0000 2018,422000,639,11,145
"CBR , Comic Book Resources","b""#BirdsofPrey's Official Title Is Long, Fantabulous and Absolutely Bonkers https://t.co/UR3nMvRnyo https://t.co/GTiPwvMU91""",https://buff.ly/2TBKbAP,Thu Nov 22 04:31:01 +0000 2018,234940,832,8,27
"yaboynimrit , Nimrit",b'Fuck I fucked up the meme format but you get it',no external urls in this tweet,Thu Nov 22 04:29:01 +0000 2018,458,1227,0,2
"Haejin_Crypto , Haejin",b'https://t.co/pkwLnUbrXP',no external urls in this tweet,Thu Nov 22 04:26:38 +0000 2018,73170,31,13,77
"yaboynimrit , Nimrit",b'Latest edition of:\\n\\nTrump fanatics                          BJP fanatics\\n                                      \\U0001f91d https://t.co/P4WNXaxPqJ',https://twitter.com/just1doctorwala/status/1064950607318966272,Thu Nov 22 04:25:44 +0000 2018,458,1227,0,4
"GoldenKnights , Vegas Golden Knights",b'refs disagreed\\n\\n2-2 https://t.co/DStYnaibU2',https://twitter.com/GoldenKnights/status/1065460440161935360,Thu Nov 22 04:24:40 +0000 2018,422000,639,14,141
"GoldenKnights , Vegas Golden Knights","b""wait wait wait wait\\n\\nwe're challenging for goalie interference""",no external urls in this tweet,Thu Nov 22 04:22:18 +0000 2018,422000,639,12,161
"GoldenKnights , Vegas Golden Knights",b'heck heck heck heck\\n\\n2-2',no external urls in this tweet,Thu Nov 22 04:21:47 +0000 2018,422000,639,15,139
"Isuckatpicking , VisuallyBetter",b'Cab drivers everywhere cheer. https://t.co/6KPoBPdir2',https://twitter.com/ianoland/status/1065418945925169153,Thu Nov 22 04:21:02 +0000 2018,10067,863,11,73
"SwiftOnSecurity , SwiftOnSecurity","b""RT @gaunt_argon: @SwiftOnSecurity It's sounds crazy, but that part was a good idea. Diesel is a good solvent, but won't explode at atmosphe\\u2026""",no external urls in this tweet,Thu Nov 22 04:19:24 +0000 2018,247692,8090,3,0
"GoldenKnights , Vegas Golden Knights","b""we took a penalty but we didn't mean it\\n\\ngotta sit for two minutes anyway""",no external urls in this tweet,Thu Nov 22 04:18:47 +0000 2018,422000,639,15,179
"steveyeun , steven yeun",b'RT @davidehrlich: the only thing I packed for two days at my mom\\u2019s house https://t.co/LsM2MvZk5K',no external urls in this tweet,Thu Nov 22 04:12:20 +0000 2018,1565381,435,38,0
"GoldenKnights , Vegas Golden Knights",b'anywayyyyyy still 2-1',no external urls in this tweet,Thu Nov 22 04:07:32 +0000 2018,422000,639,16,169
"GoldenKnights , Vegas Golden Knights",b'smh\\n\\nit was very very very very close\\n\\nby no goal\\n\\nsmh',no external urls in this tweet,Thu Nov 22 04:04:22 +0000 2018,422000,639,27,217
"k_greenly , Kiera Greenly",b'RT @Canucks: A sign of things to come? https://t.co/jUtcqWuQNJ',no external urls in this tweet,Thu Nov 22 04:03:27 +0000 2018,156,340,34,0
"GoldenKnights , Vegas Golden Knights","b""the refs are gonna check to make sure that our sides weren't off\\n\\nstandby""",no external urls in this tweet,Thu Nov 22 04:02:22 +0000 2018,422000,639,12,129
"UAlberta , University of Alberta",b'\\u201cBe curious. Question the status quo. Be open-minded. Constantly expand your understanding of the world...\\u201d Wise wo\\u2026 https://t.co/NotYuErBBK',https://twitter.com/i/web/status/1065455393407557632,Thu Nov 22 04:02:15 +0000 2018,79693,575,5,12
"Isuckatpicking , VisuallyBetter",b'Your current 2018 @NHLFlames #Flames https://t.co/uFjz5acZkp',no external urls in this tweet,Thu Nov 22 04:01:31 +0000 2018,10067,863,6,28
"GoldenKnights , Vegas Golden Knights","b""FREAKIN EAKIN!!!!!\\n\\nIT'S 3-1!!!!!!!!! https://t.co/YtFYIbA2xl""",no external urls in this tweet,Thu Nov 22 04:01:16 +0000 2018,422000,639,61,443
"CBR , Comic Book Resources","b""Marvel Studios' Official MCU Timeline Has Been Unveiled https://t.co/iSBLas01Gb https://t.co/zMMqSbFbNP""",https://buff.ly/2DPTYOV,Thu Nov 22 04:01:03 +0000 2018,234940,832,16,57
"screenrant , Screen Rant",b'Jodie Whittaker &amp; Showrunner Exiting Doctor Who in 2019 According to Report - https://t.co/27py5DD2zd https://t.co/Ta4HcjST5w',https://buff.ly/2PKHKO1,Thu Nov 22 03:58:51 +0000 2018,115536,289,6,16
"globeandmail , The Globe and Mail",b'Media sector gets $595-million package in Ottawa\\u2019s fiscal update https://t.co/E9G3PMGiyN @GlobeBusiness https://t.co/1cWOOTAPKM',http://dlvr.it/QrqGRn,Thu Nov 22 03:58:07 +0000 2018,1732031,557,3,3
"globeandmail , The Globe and Mail",b'Torstar cuts 13 jobs at StarMetro in Toronto no papers will be cancelled https://t.co/nZylG78MQs @GlobeBusiness https://t.co/hTrY9JNDNf',http://dlvr.it/QrqGQD,Thu Nov 22 03:58:05 +0000 2018,1732031,557,2,1
"GoldenKnights , Vegas Golden Knights",b'tic-tac-Max \\U0001f3af https://t.co/o9YR6VyJGL',no external urls in this tweet,Thu Nov 22 03:56:00 +0000 2018,422000,639,50,375
"GoldenKnights , Vegas Golden Knights",b'fresh 20 on the scoreboard\\n\\nperiod three starts now!',no external urls in this tweet,Thu Nov 22 03:55:15 +0000 2018,422000,639,13,154
"Isuckatpicking , VisuallyBetter",b'Kyle Dubas is literally more fun than all of the Oilers social media department. https://t.co/ed8NO8QtLB',https://twitter.com/kyledubas/status/1065392299515928576,Thu Nov 22 03:53:52 +0000 2018,10067,863,6,95
"GoldenKnights , Vegas Golden Knights",b'we went back for seconds during the second period \\U0001f609',no external urls in this tweet,Thu Nov 22 03:50:11 +0000 2018,422000,639,18,179
"globeandmail , The Globe and Mail",b'Kyle Lowry\\u2019s triple-double leads Toronto Raptors ahead of Atlanta Hawks 124-108 https://t.co/gQ3KeYJjmY\\u2026 https://t.co/YNhz6Ld4Lx',http://dlvr.it/QrqFYB,Thu Nov 22 03:50:05 +0000 2018,1732031,557,1,9
"GoldenKnights , Vegas Golden Knights",b'Nosek had that corner picked the whole time \\U0001f60f https://t.co/K3OAjkAIAl',no external urls in this tweet,Thu Nov 22 03:47:40 +0000 2018,422000,639,21,246
"globeandmail , The Globe and Mail",b'Montreal Canadiens lose 5-2 to New Jersey Devils https://t.co/mzvf8eRDW2 @Globe_Sports https://t.co/eRzHRV7Pfo',http://dlvr.it/QrqDy5,Thu Nov 22 03:44:05 +0000 2018,1732031,557,1,1
"soIoucity , Tony X.",b'thats already happening. https://t.co/EP1AxplV4W',https://twitter.com/Thomasterstl/status/1065449829239799810,Thu Nov 22 03:41:38 +0000 2018,75733,1482,0,22
"MaxDannish , Max Dannish",b'@KeroppiChoppi Thicc dip',no external urls in this tweet,Thu Nov 22 03:41:32 +0000 2018,125,115,0,1
"soIoucity , Tony X.",b'Let me coach... i mean what do we have to lose?',no external urls in this tweet,Thu Nov 22 03:39:27 +0000 2018,75733,1482,10,171
"GoldenKnights , Vegas Golden Knights",b'end of 2\\n\\nUs: 2\\nCoyotes: 1\\n\\nmood: https://t.co/SsaDigMW2m',no external urls in this tweet,Thu Nov 22 03:37:34 +0000 2018,422000,639,53,399
"screenrant , Screen Rant","b'Bill Maher Responds to Backlash, Clarifies Stan Lee Comments - https://t.co/S8CjzUTXaX https://t.co/yFyf8e6hlQ'",https://buff.ly/2TxOltk,Thu Nov 22 03:36:39 +0000 2018,115536,289,1,13
"DepressedDarth , Darth Vader",b'New Episode IX Rumor Connects The Emperor And Snoke https://t.co/NZGuAZm9ax',https://goo.gl/1tqbUw,Thu Nov 22 03:36:20 +0000 2018,817375,314,7,29
"globeandmail , The Globe and Mail",b'Carolina Hurricanes edge Toronto Maple Leafs with McElhinney\\u2019s between the pipes https://t.co/HrqDQfHUnf\\u2026 https://t.co/bcpNpp0RuQ',http://dlvr.it/QrqD4k,Thu Nov 22 03:36:05 +0000 2018,1732031,557,0,1
"GoldenKnights , Vegas Golden Knights","b""Fun fact about Max Pacioretty: he's got goals in 3\\ufe0f\\u20e3 straight games \\U0001f60b""",no external urls in this tweet,Thu Nov 22 03:33:20 +0000 2018,422000,639,37,447
"FriedgeHNIC , Elliotte Friedman",b'OTT storms back to tie MIN 4-4 with 7 minutes to go. Dubnyk pulled for Stalock.',no external urls in this tweet,Thu Nov 22 03:31:02 +0000 2018,457889,647,6,58
"jmfallone , Joey","b""apparently I'm not the typist I used to be... https://t.co/dpoQMgwZbZ""",no external urls in this tweet,Thu Nov 22 03:31:01 +0000 2018,30,125,0,0
"CBR , Comic Book Resources",b'REVIEW: #Creed2 Succeeds Despite Its Formulaic Story https://t.co/O6QWAVkfRu https://t.co/0StpZJit0L',https://buff.ly/2Tv7zj4,Thu Nov 22 03:31:01 +0000 2018,234940,832,6,17
"GoldenKnights , Vegas Golden Knights",b'MAX\\n\\nPACIORETTY!!!!!!!\\n\\n2-1   v e g a s https://t.co/0YpQMaAXKo',no external urls in this tweet,Thu Nov 22 03:29:33 +0000 2018,422000,639,124,780
"BootsRiley , Boots Riley","b""RT @phil_christman: fuck it, I'm gonna make my parents watch SORRY TO BOTHER YOU and tell them it's an End Times movie and see if it works""",no external urls in this tweet,Thu Nov 22 03:25:46 +0000 2018,89884,19807,7,0
"JennyJennyAdams , Jenny Adams",b'\\u201cBut Alberta didn\\u2019t screw up that approval. Ottawa did. This province needs the kind of emergency help the federal\\u2026 https://t.co/vOsPYIqjKl',https://twitter.com/i/web/status/1065446138721972224,Thu Nov 22 03:25:29 +0000 2018,2349,865,0,3
"screenrant , Screen Rant",b'Hugh Jackman Rules Out Wolverine Return For Deadpool Team-Up - https://t.co/Sc1sEGS8wM https://t.co/bApUGAJRqo',https://buff.ly/2PJQ14D,Thu Nov 22 03:24:44 +0000 2018,115536,289,9,25
"BootsRiley , Boots Riley",b'RT @rexbasior: Hey it turns out Sorry to Bother You is on Hulu. WATCH IT. You will not be bored.',no external urls in this tweet,Thu Nov 22 03:23:59 +0000 2018,89884,19807,21,0
"BootsRiley , Boots Riley","b'RT @GramsciAF: Sorry to Bother You was WILD, WHAT DID I JUST WATCH. INCREDIBLE'",no external urls in this tweet,Thu Nov 22 03:22:37 +0000 2018,89884,19807,1,0
"BootsRiley , Boots Riley","b'RT @rowan_bradley: Can I borrow $24,000 from someone to buy the actual car from Sorry To Bother You and by \\u2018borrow\\u2019we all know I won\\u2019t pay\\u2026'",no external urls in this tweet,Thu Nov 22 03:22:17 +0000 2018,89884,19807,5,0
"BootsRiley , Boots Riley",b'RT @__iamdeejay: sorry to bother you on hulu \\U0001f62d',no external urls in this tweet,Thu Nov 22 03:20:42 +0000 2018,89884,19807,7,0
"BootsRiley , Boots Riley","b""RT @CMURDER26: i'm late but just saw sorry to bother you... it's fucking great got damn""",no external urls in this tweet,Thu Nov 22 03:20:17 +0000 2018,89884,19807,3,0
"BestMovieLine , Best Movie Line",b'Mulan https://t.co/xmH5EsCVxN',no external urls in this tweet,Thu Nov 22 03:19:43 +0000 2018,493176,38,59,186
"GoldenKnights , Vegas Golden Knights",b'\\U0001f917\\U0001f917\\U0001f917\\U0001f917\\U0001f917\\U0001f917\\U0001f917 https://t.co/7y5frJX3mg',no external urls in this tweet,Thu Nov 22 03:19:24 +0000 2018,422000,639,33,350
"DepressedDarth , Darth Vader",b'Mind = Blown https://t.co/biQdIQJJ85',no external urls in this tweet,Thu Nov 22 03:18:46 +0000 2018,817375,314,36,199
"BootsRiley , Boots Riley",b'RT @francescalyn: Watched Sorry To Bother You with boyfriend. We both liked it but at the end he was reading the credits and went \\u201cBOOTS RI\\u2026',no external urls in this tweet,Thu Nov 22 03:17:39 +0000 2018,89884,19807,3,0
"JSBMjeanshorts , Jeanshorts",b'https://t.co/m7CMt4FGNy',no external urls in this tweet,Thu Nov 22 03:16:19 +0000 2018,5437,97,0,1
"GoldenKnights , Vegas Golden Knights",b'omg the goal post here is so friendly \\U0001f44c',no external urls in this tweet,Thu Nov 22 03:15:47 +0000 2018,422000,639,40,413
"JSBMjeanshorts , Jeanshorts",b'Pretty cool that it *only* costs $20 to click a button to choose your seat on an airplane. Love living in the future!!',no external urls in this tweet,Thu Nov 22 03:15:26 +0000 2018,5437,97,0,11
"GoldenKnights , Vegas Golden Knights",b'goal number \\u270c\\ufe0f on the year for \\U0001f443\\n\\n\\U0001f44d\\U0001f604',no external urls in this tweet,Thu Nov 22 03:14:12 +0000 2018,422000,639,22,260
"GoldenKnights , Vegas Golden Knights",b'\\U0001f6a8NOSEK!!!!!!\\U0001f6a8\\n\\n1-1 https://t.co/hwf4hdMaQY',no external urls in this tweet,Thu Nov 22 03:12:21 +0000 2018,422000,639,77,475
"BestMovieLine , Best Movie Line",b'Stuck in Love https://t.co/j7tmE8GfTq',no external urls in this tweet,Thu Nov 22 03:08:49 +0000 2018,493176,38,58,147
"globeandmail , The Globe and Mail","b'U.S. prosecutors probe Hyundai, Kia over past recalls, sending shares sliding https://t.co/Y3aONWsu1u @GlobeBusiness https://t.co/q3PcOFXEtn'",http://dlvr.it/Qrq8xQ,Thu Nov 22 03:08:06 +0000 2018,1732031,557,1,1
"GoldenKnights , Vegas Golden Knights",b'power play for your Golden Knights \\U0001f50c',no external urls in this tweet,Thu Nov 22 03:07:55 +0000 2018,422000,639,18,183
"DepressedDarth , Darth Vader","b'Dear Disney,\\n\\nPlease make a standalone Vader movie.\\n\\nSincerely,\\n\\nEverybody.'",no external urls in this tweet,Thu Nov 22 03:06:19 +0000 2018,817375,314,73,399
"globeandmail , The Globe and Mail",b'Brees and streaking Saints seek to ground sagging Falcons https://t.co/VMpUvpAVuB @Globe_Sports https://t.co/YuRGdIb3bc',http://dlvr.it/Qrq8jF,Thu Nov 22 03:06:06 +0000 2018,1732031,557,2,3
"GoldenKnights , Vegas Golden Knights",b'period two is happening now on @ATTSportsNetRMW',no external urls in this tweet,Thu Nov 22 03:03:32 +0000 2018,422000,639,15,107
"CBR , Comic Book Resources",b'Amazon Prime Members Can See #Aquaman Early https://t.co/BYivRKhw8A https://t.co/tAayiVWpKZ',https://buff.ly/2R2aoqh,Thu Nov 22 03:01:02 +0000 2018,234940,832,10,43
"screenrant , Screen Rant",b'The wizards at @weta_digital explain the challenges of bringing the unique character of Alita to life in Robert\\u2026 https://t.co/LCNZx2LNIB',https://twitter.com/i/web/status/1065439760720830465,Thu Nov 22 03:00:08 +0000 2018,115536,289,2,10
"EdmontonOilers , Edmonton Oilers",b'The #Oilers Store in @KingswayMall will have #BlackFriday deals for you this Friday through Sunday! Buy 2 regular p\\u2026 https://t.co/6bnxABVcf1',https://twitter.com/i/web/status/1065439046107709441,Thu Nov 22 02:57:18 +0000 2018,799811,265,3,23
"soIoucity , Tony X.",b'ill try anything once https://t.co/HE8jZNlMSG',https://twitter.com/ImSo_ThickWitIt/status/1065423255165693952,Thu Nov 22 02:55:18 +0000 2018,75733,1482,7,41
"globeandmail , The Globe and Mail",b'Investigation into B.C. legislature officials underway since at least start of the year https://t.co/NLRgRqItyB https://t.co/RdsTATaUdX',http://dlvr.it/Qrq72Q,Thu Nov 22 02:51:04 +0000 2018,1732031,557,4,2
"GoldenKnights , Vegas Golden Knights","b""first intermission poll\\n\\ndidn't think this was an issue but apparently it is\\n\\nBlink 182 is pronounced....""",no external urls in this tweet,Thu Nov 22 02:47:32 +0000 2018,422000,639,45,137
"SwiftOnSecurity , SwiftOnSecurity","b'If you like this video, go to @chemsafetyboard\\u2019s YouTube video page, sort by most popular, and watch the most fasci\\u2026 https://t.co/xuKlibMVuf'",https://twitter.com/i/web/status/1065436510831476736,Thu Nov 22 02:47:13 +0000 2018,247692,8090,12,107
"GoldenKnights , Vegas Golden Knights","b""end of 1\\n\\nUs: 0\\nCoyotes: 1\\n\\nmood: when Lucy pulls the football away from Charlie Brown right before he's about to kick it""",no external urls in this tweet,Thu Nov 22 02:45:06 +0000 2018,422000,639,42,333
"globeandmail , The Globe and Mail","b'Ottawa to miss deadline for solitary confinement law, seeks extension https://t.co/981utR586L https://t.co/TwXy32Q6eY'",http://dlvr.it/Qrq6Ts,Thu Nov 22 02:44:05 +0000 2018,1732031,557,8,6
"GoldenKnights , Vegas Golden Knights",b'darn\\n\\n1-0 arizona',no external urls in this tweet,Thu Nov 22 02:41:57 +0000 2018,422000,639,12,116
"GoldenKnights , Vegas Golden Knights","b'Dear Goal Post,\\n\\nCheers.\\n\\n-VGK'",no external urls in this tweet,Thu Nov 22 02:39:35 +0000 2018,422000,639,27,306
"kumailn , Kumail Nanjiani","b""RT @michelleisawolf: I bet you'd be on my side if I had killed a journalist. #BeBest https://t.co/bZ91Cg0QCr""",https://twitter.com/realDonaldTrump/status/1065088330969305089,Thu Nov 22 02:39:07 +0000 2018,2852493,2881,78407,0
"SwiftOnSecurity , SwiftOnSecurity",b'Maybe the best line in an industrial disaster investigation\\n\\u201cplan was to soak the fireworks in diesel fuel to desen\\u2026 https://t.co/KTNTnw7Jfb',https://twitter.com/i/web/status/1065434179331153920,Thu Nov 22 02:37:57 +0000 2018,247692,8090,39,157
"spoderbro , my name is might've been",b'RT @Noel_May: THIS IS A PUBLIC SERVICE ANNOUNCEMENT!\\n\\nDraisaitl has as many points as John Tavares \\n\\n#Oilers',no external urls in this tweet,Thu Nov 22 02:36:24 +0000 2018,315,1667,61,0
"GoldenKnights , Vegas Golden Knights","b""Fleury is all of us on the couch after Thanksgiving dinner\\n\\nexcept he's also stopping a hockey puck \\U0001f338 https://t.co/Ee4te5cZxr""",no external urls in this tweet,Thu Nov 22 02:33:26 +0000 2018,422000,639,47,396
"soIoucity , Tony X.",b'https://t.co/ZWtgXqxAEU',no external urls in this tweet,Thu Nov 22 02:32:18 +0000 2018,75733,1482,1,29
"doniveson , Don Iveson",b'On behalf of all of the people working behind-the-scenes... welcome to #YEG! We\\u2019re proud to host the 106th #GreyCup\\u2026 https://t.co/ubrTbTdAPN',https://twitter.com/i/web/status/1065432490888888321,Thu Nov 22 02:31:15 +0000 2018,155786,2299,56,223
"JSBMjeanshorts , Jeanshorts",b'RT @AndyCole84: @ianoland https://t.co/3jlRjO6Oky',no external urls in this tweet,Thu Nov 22 02:30:53 +0000 2018,5437,97,34,0
"CBR , Comic Book Resources","b""The Comics Industry Responds to Bill Maher's Controversial Stan Lee Comments https://t.co/vz7PyRPh9Z https://t.co/IPZZVzWLf9""",https://buff.ly/2PLBFR8,Thu Nov 22 02:30:16 +0000 2018,234940,832,2,11
"spoderbro , my name is might've been",b'@yaboynimrit Agree 100% sitting that long is uncomfortable enough already',no external urls in this tweet,Thu Nov 22 02:30:07 +0000 2018,315,1667,0,2
"TSNBobMcKenzie , Bob McKenzie",b'RT @risingaction: Business-side changes for the Canucks https://t.co/fx3flWR0NO',https://theprovince.com/sports/hockey/nhl/vancouver-canucks/canucks-make-changes-in-the-executive-suite,Thu Nov 22 02:30:00 +0000 2018,1599117,680,8,0
"globeandmail , The Globe and Mail",b'A legislature that has known plenty of drama and intrigue gets more of it https://t.co/tYEG8Ml8D4 https://t.co/ejd0wJQGBW',http://dlvr.it/Qrq4dJ,Thu Nov 22 02:28:06 +0000 2018,1732031,557,0,1
"SwiftOnSecurity , SwiftOnSecurity","b'RT @DrGetafix: As much as I\'m sure they\'ll want to fire the driver, they need to ask themselves: ""How did our system evolve to the point wh\\u2026'",no external urls in this tweet,Thu Nov 22 02:26:23 +0000 2018,247692,8090,573,0
"BestMovieLine , Best Movie Line",b'Grease https://t.co/oPAwA3gGd2',no external urls in this tweet,Thu Nov 22 02:23:47 +0000 2018,493176,38,33,109
"DepressedDarth , Darth Vader",b'You WILL retweet this https://t.co/Sfa9MKxovM',no external urls in this tweet,Thu Nov 22 02:23:30 +0000 2018,817375,314,300,206
"GoldenKnights , Vegas Golden Knights","b'penalty expired thanks to about 62,000 saves by Marc-Andre'",no external urls in this tweet,Thu Nov 22 02:23:10 +0000 2018,422000,639,29,382
"GoldenKnights , Vegas Golden Knights",b'we did a penalty',no external urls in this tweet,Thu Nov 22 02:18:30 +0000 2018,422000,639,13,225
"FriedgeHNIC , Elliotte Friedman","b'TC Carling -- Executive Vice President, Hockey Administration &amp; Arena Operations -- is leaving the organization. Ca\\u2026 https://t.co/QYBaCb1aEg'",https://twitter.com/i/web/status/1065429162700111872,Thu Nov 22 02:18:01 +0000 2018,457889,647,23,41
